state,class,gender,age,paid,logpaid
STATE 14,C6 ,M,97,1134.44,7.033894416
STATE 15,C6 ,M,96,3761.24,8.232503969
STATE 15,C11,M,95,7842.31,8.967288713
STATE 15,F6 ,F,95,2384.67,7.776816029
STATE 15,F6 ,M,95,650,6.476972363
STATE 15,F6 ,M,95,391.12,5.969014418
STATE 15,C11,M,94,3775.83,8.236375505
STATE 10,C6 ,M,94,415.35,6.029121538
STATE 14,C11,M,93,2283.56,7.733490908
STATE 03,C11,M,93,665.48,6.500508585
STATE 02,C6 ,M,93,414,6.025865974
STATE 14,F11,M,93,285.94,5.655781999
STATE 15,F6 ,M,92,3488.99,8.157367575
STATE 14,C6 ,M,92,2428,7.794823152
STATE 15,C6 ,F,92,2049.26,7.625234031
STATE 07,C6 ,F,92,1129.89,7.029875562
STATE 02,C11,F,92,654,6.483107351
STATE 03,C11,M,92,366.28,5.903398068
STATE 14,F6 ,F,92,132.5,4.886582645
STATE 15,C11,M,91,3890.07,8.266182431
STATE 15,C11,M,91,2927.76,7.981992905
STATE 15,C6 ,M,91,2345.71,7.760343407
STATE 15,C11,M,91,984.89,6.89252996
STATE 04,C11,F,91,438.04,6.08231023
STATE 04,C6 ,M,91,295.99,5.69032567
STATE 15,C6 ,M,91,268.5,5.592850914
STATE 02,C11,M,90,11756.34,9.372147949
STATE 03,C6 ,F,90,8693.25,9.070302141
STATE 15,F6 ,M,90,7261.51,8.890343075
STATE 15,C6 ,F,90,5663.66,8.641825605
STATE 02,C11,M,90,3746.15,8.228483925
STATE 01,F6 ,M,90,2607.82,7.866269902
STATE 01,C6 ,F,90,2402,7.784057003
STATE 07,C6 ,F,90,2342.32,7.75889717
STATE 17,C6 ,F,90,2104.31,7.651742901
STATE 15,C11,M,90,1882.33,7.54026565
STATE 15,C6 ,M,90,1418,7.257002707
STATE 01,C6 ,M,90,1400,7.244227516
STATE 15,C6 ,M,90,1103.32,7.006079095
STATE 15,C11,M,90,1092.1,6.995857727
STATE 15,C1 ,M,90,1038.88,6.945898489
STATE 02,C11,M,90,1013.06,6.920730733
STATE 01,C11,M,90,802.91,6.688242628
STATE 04,C11,M,90,656.54,6.486983621
STATE 07,C6 ,F,90,296.97,5.693631124
STATE 15,C6 ,M,90,267.43,5.58885785
STATE 15,C1 ,F,90,249.1,5.517854422
STATE 15,C1 ,F,90,187.79,5.235324317
STATE 17,C6 ,M,89,59113.78,10.98721934
STATE 15,C11,F,89,3681.48,8.211070124
STATE 14,F1 ,M,89,2836.69,7.950393158
STATE 15,C6 ,M,89,2495.7,7.82232453
STATE 04,C11,F,89,2250,7.718685495
STATE 15,C6 ,M,89,1903.21,7.551297213
STATE 03,C11,M,89,1678.27,7.42551878
STATE 15,C6 ,F,89,1553.42,7.348214231
STATE 17,C11,F,89,1157.42,7.053948669
STATE 15,C11,M,89,1074.51,6.979620023
STATE 15,C6 ,M,89,935.26,6.840824565
STATE 17,C11,F,89,915.77,6.819765241
STATE 15,C11,F,89,877.24,6.776780615
STATE 07,C6 ,M,89,854.67,6.75071543
STATE 02,C6 ,M,89,785.25,6.666002138
STATE 06,C6 ,M,89,645.46,6.469963241
STATE 15,C6 ,M,89,580.67,6.364182609
STATE 03,C11,M,89,487.7,6.189700463
STATE 06,C6 ,M,89,479.37,6.172472742
STATE 04,C11,F,89,328.09,5.793287961
STATE 15,C6 ,M,89,275,5.616771098
STATE 04,F6 ,M,89,264.13,5.576441406
STATE 15,C11,M,89,55,4.007333185
STATE 03,C11,M,88,14833.3,9.604629932
STATE 17,C11,F,88,3909.14,8.27107268
STATE 12,C6 ,F,88,3876.6,8.26271376
STATE 15,C6 ,M,88,3845,8.254528882
STATE 15,C6 ,M,88,3106.54,8.041264846
STATE 04,C11,F,88,3025,8.01466637
STATE 15,C6 ,F,88,2750,7.919356191
STATE 06,C6 ,F,88,2612.74,7.868154758
STATE 02,C11,M,88,2057.77,7.629378151
STATE 15,C6 ,M,88,1861.25,7.529003584
STATE 15,C11,M,88,1773.92,7.480947066
STATE 15,C6 ,M,88,1500,7.313220387
STATE 15,F6 ,M,88,1259.89,7.138779695
STATE 17,C6 ,M,88,1250.85,7.131578599
STATE 15,C1 ,F,88,1146.25,7.044251024
STATE 12,C6 ,M,88,1030.83,6.938119582
STATE 04,C1 ,M,88,1008,6.915723449
STATE 15,C6 ,M,88,900,6.802394763
STATE 15,C6 ,F,88,825.2,6.715625781
STATE 15,C11,M,88,824.85,6.715201552
STATE 03,C11,M,88,672.2,6.510555915
STATE 04,C11,M,88,669.5,6.506531165
STATE 15,F6 ,F,88,664.34,6.498794067
STATE 15,C11,M,88,646.08,6.470923335
STATE 17,C6 ,M,88,641.15,6.463263439
STATE 04,C11,M,88,586.43,6.374053309
STATE 15,C11,M,88,581.64,6.3658517
STATE 02,C11,M,88,428.97,6.061386986
STATE 14,C11,M,88,408.39,6.0122226
STATE 02,C6 ,F,87,8594.93,9.058927774
STATE 07,C6 ,M,87,5664.35,8.641947427
STATE 15,C6 ,M,87,4494.59,8.41062973
STATE 06,C1 ,M,87,4330.29,8.373389793
STATE 17,C11,F,87,4235.53,8.351263747
STATE 15,F6 ,M,87,3953.84,8.282442538
STATE 03,C11,M,87,3841.66,8.253659844
STATE 15,C6 ,M,87,3584.5,8.184374273
STATE 02,C11,M,87,3121.37,8.046027287
STATE 15,C6 ,M,87,2730.03,7.912067877
STATE 04,C6 ,F,87,2700.03,7.901018163
STATE 15,C11,M,87,2434.85,7.797640432
STATE 15,F6 ,M,87,1812.46,7.502440318
STATE 15,C11,F,87,1683.52,7.428642119
STATE 15,C6 ,F,87,1665.51,7.417886662
STATE 15,C11,M,87,1414.2,7.254319279
STATE 15,C11,M,87,1250.4,7.131218779
STATE 15,F6 ,M,87,1145.95,7.043989266
STATE 10,C11,M,87,1015.02,6.922663596
STATE 04,C6 ,M,87,897.81,6.799958465
STATE 17,F6 ,M,87,865.9,6.763769428
STATE 15,C6 ,M,87,800.16,6.684811708
STATE 17,C11,M,87,711.34,6.567150515
STATE 15,C6 ,F,87,705,6.558197803
STATE 03,F1 ,M,87,670.34,6.507785046
STATE 15,C11,F,87,580,6.363028104
STATE 15,C6 ,F,87,540.07,6.291698761
STATE 01,C6 ,M,87,532.04,6.276718674
STATE 13,C11,F,87,528.32,6.269702161
STATE 07,C11,M,87,518.55,6.251036455
STATE 03,C11,F,87,470.77,6.154369652
STATE 15,C6 ,F,87,245.82,5.504599561
STATE 17,C6 ,F,87,239.37,5.478010472
STATE 15,C6 ,M,87,206.1,5.328361488
STATE 07,C11,M,87,78.34,4.361058328
STATE 15,C6 ,M,87,30,3.401197382
STATE 15,C6 ,F,86,6384,8.761550139
STATE 04,C6 ,F,86,4623.97,8.439008922
STATE 15,C6 ,M,86,4467.92,8.404678255
STATE 13,C1 ,M,86,3266.49,8.091471293
STATE 04,F6 ,M,86,2798.26,7.936753074
STATE 15,F6 ,M,86,2500,7.824046011
STATE 15,C6 ,M,86,2474.4,7.813753221
STATE 17,C11,F,86,2090.07,7.644952837
STATE 15,C6 ,M,86,2031.61,7.616583861
STATE 10,C11,F,86,1973.82,7.58772603
STATE 15,C6 ,F,86,1892.19,7.545490167
STATE 15,C6 ,M,86,1887.92,7.543230973
STATE 02,C11,M,86,1702.24,7.43970031
STATE 10,C6 ,F,86,1541.1,7.340251726
STATE 15,C6 ,M,86,1354.93,7.211505071
STATE 02,F6 ,F,86,1302.65,7.17215593
STATE 04,F6 ,M,86,1302.13,7.171756664
STATE 02,C11,M,86,1263.51,7.141648841
STATE 15,C6 ,M,86,1092.8,6.996498489
STATE 02,F6 ,F,86,1045,6.951772164
STATE 02,C11,M,86,1008.53,6.916249104
STATE 15,C6 ,M,86,879.3,6.779126136
STATE 04,C11,M,86,811.51,6.69889671
STATE 15,C6 ,F,86,701.52,6.553249409
STATE 02,C11,M,86,625.52,6.438583304
